,,,,,,,,,,,,
Pozo,PEGDA (%),RF (%),TEOA (%),Young Modulus (Kpa),Error Absoluto,Error Relativo (%),Tiempo Sumergido (min),Ratio TEOA/RF,Ratio PEGDA/AGUA,Ratio PEGDA/FI,DIA ESTUDIO,Altura (mm)
A1,22.09,0.00025,0.95,NG,,,35,3800.00,0.280,23.25,1,
A2,28.21,0.00023,0.34,426.836,6.023,1.41,42,1478.26,0.391,82.91,1,5.06
A3,31.72,0.00021,0.03,842.614,14.905,1.77,49,142.86,0.464,1049.98,1,5.12
A4,20.8,0.00029,0.03,291.327,9.741,3.34,56,103.45,0.263,686.70,1,4.74
A5,28.33,0.00029,1.18,87.025,6.486,7.45,63,4068.97,0.389,24.00,1,5.64
A6,25.66,0.0003,1,NG,,,70,3333.33,0.341,25.65,1,
A7,30.61,0.00024,0.9,118.978,5.698,4.79,77,3750.00,0.435,34.00,1,5.6
A8,21.6,0.0002,0.47,24.602,2.517,10.23,84,2350.00,0.274,45.94,1,5.04
A9,27.76,0.00027,0.82,32.438,3.587,11.06,91,3037.04,0.380,33.84,1,5.44
A10,32.33,0.00026,0.95,130.299,8.7,6.68,98,3653.85,0.471,34.02,1,5.6
A11,22.44,0.00027,0.43,17.692,2.333,13.19,105,1592.59,0.288,52.15,1,5.18
A12,29.48,0.00029,0.69,192.086,9.041,4.71,112,2379.31,0.414,42.71,1,5.58
B1,20.37,0.00024,0.66,NG,,,119,2750.00,0.254,30.85,1,
B2,34.65,0.00022,0.57,1156.239,18.665,1.61,126,2590.91,0.526,60.77,1,4.94
B3,32.69,0.00026,0.24,844.713,16.258,1.92,133,923.08,0.484,136.06,1,5.24
B4,22.98,0.00021,0.14,335.561,8.814,2.63,140,666.67,0.298,163.90,1,4.3
B5,28.87,0.00021,0.78,389.478,13.721,3.52,147,3714.29,0.401,37.00,1,5.06
B6,33.23,0.00028,0.72,180.256,7.408,4.11,154,2571.43,0.492,46.13,1,5.62
B7,26.01,0.00038,0.38,163.396,7.496,4.59,161,1000.00,0.350,68.38,1,5.24
B8,34.43,0.0003,0.21,905.771,13.442,1.48,168,700.00,0.523,163.72,1,5.2
B9,26.82,0.00023,0.56,114.913,6.481,5.64,175,2434.78,0.364,47.87,1,4.98
B10,26.47,0.00028,0.21,353.666,11.627,3.29,182,750.00,0.359,125.88,1,5
B11,29.6,0.00025,0.09,734.124,15.412,2.10,189,360.00,0.420,327.98,1,5.08
B12,25.56,0.00024,0.17,605.206,10.136,1.67,196,708.33,0.343,150.14,1,4.34
C1,28.21,0.00023,0.34,293.191,7.905,2.70,203,1478.26,0.391,82.91,1,5.2
C2,20.6,0.00027,1.11,NG,,,210,4111.11,0.256,18.55,1,
C3,24.1,0.00022,0.73,1.53,0.957,62.55,217,3318.18,0.314,33.00,1,4.96
C4,30.82,0.00028,0.52,485.032,23.807,4.91,224,1857.14,0.442,59.24,1,5.16
C5,23.33,0.00023,1.13,NG,,,231,4913.04,0.300,20.64,1,4.3
C6,33.73,0.00021,1.19,73.409,8.281,11.28,238,5666.67,0.500,28.34,1,5.38
C7,33.01,0.00024,0.4,776.538,13.23,1.70,245,1666.67,0.490,82.48,1,5.48
C8,21.6,0.0002,0.47,13.456,2.345,17.43,252,2350.00,0.274,45.94,1,4.44
C9,30.61,0.00024,0.9,147.012,5.738,3.90,259,3750.00,0.435,34.00,1,5.46
C10,25.02,0.00026,1.22,NG,,,266,4692.31,0.328,20.50,1,
C11,27.76,0.00027,0.82,44.006,5.525,12.56,273,3037.04,0.380,33.84,1,5.36
C12,32.33,0.00026,0.95,245.497,23.607,9.62,280,3653.85,0.471,34.02,1,5.72
D1,22.44,0.00027,0.43,NG,,,287,1592.59,0.288,52.15,1,5
D2,28.33,0.00029,1.18,71.044,2.658,3.74,294,4068.97,0.389,24.00,1,5.68
D3,20.8,0.00029,0.03,166.308,3.691,2.22,301,103.45,0.263,686.70,1,4.36
D4,29.48,0.00029,0.69,106.437,6.596,6.20,308,2379.31,0.414,42.71,1,5.18
D5,20.37,0.00024,0.66,NG,,,315,2750.00,0.254,30.85,1,
D6,31.72,0.00021,0.03,798.296,25.238,3.16,322,142.86,0.464,1049.98,1,4.68
D7,34.65,0.00022,0.57,1264.899,32.192,2.55,329,2590.91,0.526,60.77,1,5.02
D8,32.69,0.00026,0.24,761.906,15.038,1.97,336,923.08,0.484,136.06,1,4.9
D9,22.98,0.00021,0.14,208.163,8.028,3.86,343,666.67,0.298,163.90,1,4.56
D10,28.87,0.00021,0.78,125.443,9.034,7.20,350,3714.29,0.401,37.00,1,5.02
D11,33.23,0.00028,0.72,135.158,6.409,4.74,357,2571.43,0.492,46.13,1,5.32
D12,22.09,0.00025,0.95,NG,,,364,3800.00,0.280,23.25,1,
E1,26.01,0.00038,0.38,154.605,7.92,5.12,371,1000.00,0.350,68.38,1,4.58
E2,34.43,0.0003,0.21,907.704,12.24,1.35,378,700.00,0.523,163.72,1,4.76
E3,26.82,0.00023,0.56,34.571,6.339,18.34,385,2434.78,0.364,47.87,1,4.92
E4,26.47,0.00028,0.21,389.235,22.48,5.78,392,750.00,0.359,125.88,1,4.72
E5,29.6,0.00025,0.09,709.47,18.097,2.55,399,360.00,0.420,327.98,1,4.88
E6,25.56,0.00024,0.17,421.45,12.22,2.90,406,708.33,0.343,150.14,1,4.46
E7,28.21,0.00023,0.34,281.622,11.08,3.93,413,1478.26,0.391,82.91,1,4.86
E8,20.6,0.00027,1.11,NG,,,420,4111.11,0.256,18.55,1,
E9,24.1,0.00022,0.73,12.593,2.927,23.24,427,3318.18,0.314,33.00,1,4.88
E10,30.82,0.00028,0.52,180.294,7.543,4.18,434,1857.14,0.442,59.24,1,5.36
E11,23.33,0.00023,1.13,NG,,,441,4913.04,0.300,20.64,1,
E12,33.73,0.00021,1.19,66.788,15.94,23.87,448,5666.67,0.500,28.34,1,5.4
F1,33.01,0.00024,0.4,835.962,21.263,2.54,455,1666.67,0.490,82.48,1,5.14
F2,21.6,0.0002,0.47,5.191,1.114,21.46,462,2350.00,0.274,45.94,1,4.66
F3,30.61,0.00024,0.9,141.614,7.411,5.23,469,3750.00,0.435,34.00,1,4.82
F4,25.02,0.00026,1.22,NG,,,476,4692.31,0.328,20.50,1,
F5,27.76,0.00027,0.82,39.988,2.826,7.07,483,3037.04,0.380,33.84,1,5.18
F6,32.33,0.00026,0.95,148.086,7.763,5.24,490,3653.85,0.471,34.02,1,5.22
F7,22.44,0.00027,0.43,NG,,,497,1592.59,0.288,52.15,1,4.9
F8,28.33,0.00029,1.18,56.789,9.673,17.03,504,4068.97,0.389,24.00,1,5.06
F9,20.8,0.00029,0.03,301.419,6.508,2.16,511,103.45,0.263,686.70,1,4.7
F10,29.48,0.00029,0.69,143.924,3.694,2.57,518,2379.31,0.414,42.71,1,5.2
F11,20.37,0.00024,0.66,NG,,,525,2750.00,0.254,30.85,1,
F12,31.72,0.00021,0.03,768.678,20.677,2.69,532,142.86,0.464,1049.98,1,5.16
G1,34.65,0.00022,0.57,1172.259,21.47,1.83,539,2590.91,0.526,60.77,1,4.96
G2,32.69,0.00026,0.24,629.405,7.364,1.17,546,923.08,0.484,136.06,1,5.18
G3,22.98,0.00021,0.14,268.899,4.476,1.66,553,666.67,0.298,163.90,1,4.62
G4,28.87,0.00021,0.78,130.635,7.65,5.86,560,3714.29,0.401,37.00,1,4.7
G5,33.23,0.00028,0.72,165.775,6.07,3.66,567,2571.43,0.492,46.13,1,5.34
G6,22.09,0.00025,0.95,NG,,,574,3800.00,0.280,23.25,1,
G7,26.01,0.00038,0.38,19.293,3.221,16.70,581,1000.00,0.350,68.38,1,5.14
G8,34.43,0.0003,0.21,819.845,19.912,2.43,588,700.00,0.523,163.72,1,5.06
G9,26.82,0.00023,0.56,23.715,2.963,12.49,595,2434.78,0.364,47.87,1,5.1
G10,26.47,0.00028,0.21,21.796,3.375,15.48,602,750.00,0.359,125.88,1,4.72
G11,29.6,0.00025,0.09,560.155,13.495,2.41,609,360.00,0.420,327.98,1,5.24
G12,25.56,0.00024,0.17,453.489,10.456,2.31,616,708.33,0.343,150.14,1,4.72
H1,28.21,0.00023,0.34,223.555,6.574,2.94,623,1478.26,0.391,82.91,1,4.58
H2,20.6,0.00027,1.11,NG,,,630,4111.11,0.256,18.55,1,
H3,24.1,0.00022,0.73,4.083,2.867,70.22,637,3318.18,0.314,33.00,1,4.82
H4,30.82,0.00028,0.52,121.733,7.925,6.51,644,1857.14,0.442,59.24,1,4.88
H5,23.33,0.00023,1.13,NG,,,651,4913.04,0.300,20.64,1,
H6,33.73,0.00021,1.19,40.884,4.662,11.40,658,5666.67,0.500,28.34,1,5.38
H7,33.01,0.00024,0.4,850.478,20.561,2.42,665,1666.67,0.490,82.48,1,4.98
H8,21.6,0.0002,0.47,ERROR,,,672,2350.00,0.274,45.94,1,
H9,30.61,0.00024,0.9,15.098,5.547,36.74,679,3750.00,0.435,34.00,1,5.04
H10,25.02,0.00026,1.22,NG,,,686,4692.31,0.328,20.50,1,
H11,27.76,0.00027,0.82,ERROR,,,693,3037.04,0.380,33.84,1,
H12,32.33,0.00026,0.95,187.466,6.425,3.43,700,3653.85,0.471,34.02,1,5.14
A1,24,0.0004,0.28,NG,,,35,700.00,0.315,85.59,2,5.26
A2,30.36,0.00033,0.29,852.277,16.634,1.95,42,878.79,0.434,104.57,2,5.38
A3,22.73,0.00036,0.74,NG,,,49,2055.56,0.291,30.70,2,
A4,21.4,0.00038,1.23,NG,,,56,3236.84,0.268,17.39,2,
A5,32.18,0.00037,0.1,909.666,41.682,4.58,63,270.27,0.474,320.61,2,5.26
A6,25.39,0.00039,1.1,35.688,1.582,4.43,70,2820.51,0.335,23.07,2,5.3
A7,20.12,0.00039,0.82,NG,,,77,2102.56,0.249,24.52,2,
A8,23.7,0.0003,0.56,6.439,1.624,25.22,84,1866.67,0.308,42.30,2,5.24
A9,27.18,0.00031,1.02,67.455,1.547,2.29,91,3290.32,0.368,26.64,2,5.28
A10,31.43,0.00036,0.67,155.887,9.834,6.31,98,1861.11,0.454,46.89,2,5.32
A11,34.26,0.00038,1.07,152.897,11.94,7.81,105,2815.79,0.513,32.01,2,5.68
A12,25.22,0.00034,0.25,150.009,8.723,5.81,112,735.29,0.336,100.74,2,5.28
B1,20.97,0.00032,0.92,NG,,,119,2875.00,0.262,22.79,2,
B2,28.67,0.00032,0.12,577.981,10.866,1.88,126,375.00,0.401,238.28,2,4.68
B3,23.47,0.00032,0.78,3.646,2.235,61.30,133,2437.50,0.304,30.08,2,5.1
B4,24.91,0.00037,0.51,12.332,2.712,21.99,140,1378.38,0.329,48.81,2,5.2
B5,34.09,0.00031,0.63,318.2,11.312,3.55,147,2032.26,0.512,54.08,2,6.04
B6,31.34,0.00033,1.01,111.889,9.18,8.20,154,3060.61,0.450,31.02,2,5.56
B7,33.34,0.00034,0.47,329.909,11.903,3.61,161,1382.35,0.497,70.88,2,5.64
B8,27.62,0.00038,0.04,38.745,4.776,12.33,168,105.26,0.381,684.00,2,4.94
B9,22,0.00036,0.33,6.171,0.936,15.17,175,916.67,0.281,66.59,2,5.52
B10,24.46,0.00031,0.3,61.887,6.828,11.03,182,967.74,0.323,81.45,2,5.56
B11,29.69,0.00035,0.5,170.715,8.451,4.95,189,1428.57,0.419,59.34,2,5.68
B12,26.93,0.00033,1.17,49.931,6.432,12.88,196,3545.45,0.363,23.01,2,5.66
C1,23.77,0.00035,0.86,NG,,,203,2457.14,0.308,27.63,2,
C2,32.57,0.00031,0.8,161.308,9.175,5.69,210,2580.65,0.477,40.70,2,5.6
C3,34.93,0.00035,0.98,177.553,6.16,3.47,217,2800.00,0.529,35.63,2,5.7
C4,21.53,0.00034,0.07,235.5,12.043,5.11,224,205.88,0.274,306.08,2,4.6
C5,29.03,0.00036,0.97,97.487,6.664,6.84,231,2694.44,0.404,29.92,2,5.46
C6,32.45,0.00039,0.19,878.973,14.57,1.66,238,487.18,0.479,170.44,2,5.48
C7,27.19,0.00037,0.41,111.601,10.755,9.64,245,1108.11,0.371,66.26,2,5.58
C8,30.75,0.0004,0.84,172.136,9.625,5.59,252,2100.00,0.439,36.59,2,5.54
C9,24,0.0004,0.28,NG,,,259,700.00,0.315,85.59,2,5.8
C10,30.36,0.00033,0.29,703.869,18.39,2.61,266,878.79,0.434,104.57,2,5.32
C11,22.73,0.00036,0.74,NG,,,273,2055.56,0.291,30.70,2,
C12,21.4,0.00038,1.23,NG,,,280,3236.84,0.268,17.39,2,
D1,32.18,0.00037,0.1,980.957,29.296,2.99,287,270.27,0.474,320.61,2,4.92
D2,25.39,0.00039,1.1,32.959,5.864,17.79,294,2820.51,0.335,23.07,2,5.16
D3,20.12,0.00039,0.82,NG,,,301,2102.56,0.249,24.52,2,
D4,23.7,0.0003,0.56,6.842,1.366,19.96,308,1866.67,0.308,42.30,2,5.42
D5,27.18,0.00031,1.02,75.993,9.921,13.06,315,3290.32,0.368,26.64,2,5.38
D6,31.43,0.00036,0.67,216.322,8.78,4.06,322,1861.11,0.454,46.89,2,5.42
D7,34.26,0.00038,1.07,276.081,10.567,3.83,329,2815.79,0.513,32.01,2,5.6
D8,25.22,0.00034,0.25,110.576,8.345,7.55,336,735.29,0.336,100.74,2,5.3
D9,20.97,0.00032,0.92,NG,,,343,2875.00,0.262,22.79,2,
D10,28.67,0.00032,0.12,677.864,4.661,0.69,350,375.00,0.401,238.28,2,4.98
D11,23.47,0.00032,0.78,7.56,1.895,25.07,357,2437.50,0.304,30.08,2,5.5
D12,24.91,0.00037,0.51,8.369,1.46,17.45,364,1378.38,0.329,48.81,2,5.62
E1,34.09,0.00031,0.63,250.086,7.892,3.16,371,2032.26,0.512,54.08,2,5.46
E2,31.34,0.00033,1.01,126.351,11.65,9.22,378,3060.61,0.450,31.02,2,5.42
E3,33.34,0.00034,0.47,206.287,9.084,4.40,385,1382.35,0.497,70.88,2,5.52
E4,27.62,0.00038,0.04,35.496,5.512,15.53,392,105.26,0.381,684.00,2,4.78
E5,22,0.00036,0.33,5.234,1.349,25.77,399,916.67,0.281,66.59,2,5.32
E6,24.46,0.00031,0.3,70.835,9.566,13.50,406,967.74,0.323,81.45,2,5.28
E7,29.69,0.00035,0.5,141.829,10.368,7.31,413,1428.57,0.419,59.34,2,5.48
E8,26.93,0.00033,1.17,51.299,2.323,4.53,420,3545.45,0.363,23.01,2,5.4
E9,23.77,0.00035,0.86,NG,,,427,2457.14,0.308,27.63,2,
E10,32.57,0.00031,0.8,216.807,8.723,4.02,434,2580.65,0.477,40.70,2,5.48
E11,34.93,0.00035,0.98,244.985,9.629,3.93,441,2800.00,0.529,35.63,2,5.72
E12,21.53,0.00034,0.07,6.689,2.203,32.93,448,205.88,0.274,306.08,2,4.8
F1,29.03,0.00036,0.97,76.879,10.307,13.41,455,2694.44,0.404,29.92,2,5.5
F2,32.45,0.00039,0.19,676.494,24.114,3.56,462,487.18,0.479,170.44,2,5.22
F3,27.19,0.00037,0.41,90.098,8.157,9.05,469,1108.11,0.371,66.26,2,5.46
F4,30.75,0.0004,0.84,132.278,8.35,6.31,476,2100.00,0.439,36.59,2,5.46
F5,24,0.0004,0.28,NG,,,483,700.00,0.315,85.59,2,
F6,30.36,0.00033,0.29,783.764,13.875,1.77,490,878.79,0.434,104.57,2,5.46
F7,22.73,0.00036,0.74,NG,,,497,2055.56,0.291,30.70,2,
F8,21.4,0.00038,1.23,NG,,,504,3236.84,0.268,17.39,2,
F9,32.18,0.00037,0.1,945.633,20.567,2.17,511,270.27,0.474,320.61,2,5.16
F10,25.39,0.00039,1.1,39.276,5.672,14.44,518,2820.51,0.335,23.07,2,5.8
F11,20.12,0.00039,0.82,NG,,,525,2102.56,0.249,24.52,2,
F12,23.7,0.0003,0.56,6.256,1.082,17.30,532,1866.67,0.308,42.30,2,5.74
G1,27.18,0.00031,1.02,61.405,8.348,13.59,539,3290.32,0.368,26.64,2,5.26
G2,31.43,0.00036,0.67,152.689,11.888,7.79,546,1861.11,0.454,46.89,2,5.44
G3,34.26,0.00038,1.07,197.441,9.641,4.88,553,2815.79,0.513,32.01,2,5.86
G4,25.22,0.00034,0.25,570.646,3.454,0.61,560,735.29,0.336,100.74,2,4.28
G5,20.97,0.00032,0.92,NG,,,567,2875.00,0.262,22.79,2,
G6,28.67,0.00032,0.12,628.452,4.212,0.67,574,375.00,0.401,238.28,2,4.88
G7,23.47,0.00032,0.78,3.057,2.183,71.41,581,2437.50,0.304,30.08,2,5.48
G8,24.91,0.00037,0.51,2.548,1.295,50.82,588,1378.38,0.329,48.81,2,5.72
G9,34.09,0.00031,0.63,143.845,8.343,5.80,595,2032.26,0.512,54.08,2,5.9
G10,31.34,0.00033,1.01,122.678,11.919,9.72,602,3060.61,0.450,31.02,2,5.68
G11,33.34,0.00034,0.47,94.941,8.858,9.33,609,1382.35,0.497,70.88,2,5.68
G12,27.62,0.00038,0.04,54.723,7.765,14.19,616,105.26,0.381,684.00,2,5.14
H1,22,0.00036,0.33,4.043,3.34,82.61,623,916.67,0.281,66.59,2,5.26
H2,24.46,0.00031,0.3,53.674,8.438,15.72,630,967.74,0.323,81.45,2,5.4
H3,29.69,0.00035,0.5,153.678,12.456,8.11,637,1428.57,0.419,59.34,2,5.6
H4,26.93,0.00033,1.17,42.655,8.544,20.03,644,3545.45,0.363,23.01,2,5.36
H5,23.77,0.00035,0.86,NG,,,651,2457.14,0.308,27.63,2,
H6,32.57,0.00031,0.8,172.285,9.656,5.60,658,2580.65,0.477,40.70,2,5.68
H7,34.93,0.00035,0.98,122.582,1.92,1.57,665,2800.00,0.529,35.63,2,5.78
H8,21.53,0.00034,0.07,1.275,2.416,189.49,672,205.88,0.274,306.08,2,4.92
H9,29.03,0.00036,0.97,87.567,11.456,13.08,679,2694.44,0.404,29.92,2,5.46
H10,32.45,0.00039,0.19,723.789,14.98,2.07,686,487.18,0.479,170.44,2,5.6
H11,27.19,0.00037,0.41,95.205,7.395,7.77,693,1108.11,0.371,66.26,2,5.84
H12,30.75,0.0004,0.84,131.433,9.611,7.31,700,2100.00,0.439,36.59,2,5.74
A1,31.16,0.00044,0.36,193.432,7.654,3.96,35,818.18,0.450,86.45,3,5.32
A2,27.38,0.00046,0.51,33.076,7.541,22.80,42,1108.70,0.374,53.64,3,4.54
A3,34.72,0.00041,0.06,1034.334,32.283,3.12,49,146.34,0.531,574.74,3,4.98
A4,24.7,0.00043,0.89,73.456,8.345,11.36,56,2069.77,0.324,27.74,3,4.86
A5,33.45,0.00048,0.88,32.566,5.786,17.77,63,1833.33,0.496,37.99,3,5.2
A6,25.92,0.00048,0.69,76.567,6.789,8.87,70,1437.50,0.347,37.54,3,4.9
A7,22.89,0.00048,0.09,35.095,8.287,23.61,77,187.50,0.297,252.98,3,4.8
A8,20.77,0.0005,0.62,ERROR,,,84,1240.00,0.260,33.47,3,
A9,30.12,0.00042,0.45,149.15,7.857,5.27,91,1071.43,0.428,66.87,3,5.3
A10,31.59,0.00041,1.15,184.023,6.883,3.74,98,2804.88,0.454,27.46,3,5.46
A11,29.5,0.00045,1.25,68.543,9.032,13.18,105,2777.78,0.411,23.59,3,5.48
A12,27.93,0.00042,0.17,285.768,9.981,3.49,112,404.76,0.387,163.89,3,5.58
B1,33.89,0.00049,0.31,204.623,23.793,11.63,119,632.65,0.510,109.15,3,5.3
B2,26.64,0.00047,0.26,69.529,12.21,17.56,126,553.19,0.362,102.28,3,5.14
B3,31.98,0.00046,0.54,165.804,8.683,5.24,133,1173.91,0.466,59.17,3,5.36
B4,22.2,0.0004,0.64,3.557,1.002,28.17,140,1600.00,0.283,34.67,3,4.76
B5,22.53,0.00042,1.03,44.101,8.528,19.34,147,2452.38,0.287,21.86,3,4.88
B6,26.16,0.00042,0.61,38.366,8.01,20.88,154,1452.38,0.351,42.86,3,5.06
B7,33.95,0.00046,0.77,324.088,11.789,3.64,161,1673.91,0.508,44.06,3,5.36
B8,30.99,0.00049,0.15,293.694,9.431,3.21,168,306.12,0.448,205.93,3,5.52
B9,32.95,0.00044,1.2,176.764,12.544,7.10,175,2727.27,0.483,27.45,3,5.56
B10,28.48,0.00047,0.71,85.919,6.752,7.86,182,1510.64,0.394,40.09,3,5.68
B11,20.19,0.00044,0.37,ERROR,,,189,840.91,0.252,54.50,3,
B12,23.15,0.00046,0.23,ERROR,,,196,500.00,0.300,100.45,3,
C1,24.61,0.00044,0,NG,,,203,0.00,0.326,55931.82,3,
C2,29.94,0.0005,1.06,35.863,3.849,,210,2120.00,0.421,28.23,3,5.7
C3,24.35,0.00048,1.14,75.688,1.145,1.51,217,2375.00,0.317,21.35,3,5.34
C4,21.82,0.00047,1.05,ERROR,,,224,2234.04,0.275,20.77,3,
C5,28.01,0.00041,0.59,209.574,10.795,5.15,231,1439.02,0.386,47.44,3,5.3
C6,26.32,0.00043,0.93,137.086,5.852,4.27,238,2162.79,0.353,28.29,3,5.18
C7,29.09,0.00045,0.44,NG,,,245,977.78,0.408,66.05,3,
C8,23.27,0.00045,0.48,ERROR,,,252,1066.67,0.301,48.43,3,
C9,22.2,0.0004,0.64,ERROR,,,259,1600.00,0.283,34.67,3,
C10,34.72,0.00041,0.06,1013.221,24.366,2.40,266,146.34,0.531,574.74,3,5.24
C11,24.7,0.00043,0.89,41.183,6.544,15.89,273,2069.77,0.324,27.74,3,5.38
C12,33.45,0.00048,0.88,28.433,5.788,20.36,280,1833.33,0.496,37.99,3,5.78
D1,25.92,0.00048,0.69,89.17,3.799,4.26,287,1437.50,0.347,37.54,3,5.22
D2,22.89,0.00048,0.09,29.864,6.486,21.72,294,187.50,0.297,252.98,3,5.26
D3,20.77,0.0005,0.62,ERROR,,,301,1240.00,0.260,33.47,3,
D4,30.12,0.00042,0.45,163.258,8.076,4.95,308,1071.43,0.428,66.87,3,5.46
D5,31.59,0.00041,1.15,226.403,15.088,6.66,315,2804.88,0.454,27.46,3,5.48
D6,29.5,0.00045,1.25,67.956,2.205,3.24,322,2777.78,0.411,23.59,3,5.46
D7,27.93,0.00042,0.17,308.335,7.91,2.57,329,404.76,0.387,163.89,3,5.26
D8,33.89,0.00049,0.31,255.675,8.259,3.23,336,632.65,0.510,109.15,3,5.62
D9,26.64,0.00047,0.26,93.866,6.807,7.25,343,553.19,0.362,102.28,3,5.46
D10,31.98,0.00046,0.54,199.202,8.275,4.15,350,1173.91,0.466,59.17,3,5.6
D11,27.38,0.00046,0.51,59.534,11.725,19.69,357,1108.70,0.374,53.64,3,5.46
D12,22.53,0.00042,1.03,ERROR,,,364,2452.38,0.287,21.86,3,
E1,26.16,0.00042,0.61,ERROR,,,371,1452.38,0.351,42.86,3,
E2,33.95,0.00046,0.77,258.972,13.956,5.39,378,1673.91,0.508,44.06,3,5.32
E3,30.99,0.00049,0.15,331.485,10.263,3.10,385,306.12,0.448,205.93,3,5.42
E4,32.95,0.00044,1.2,182.928,9.256,5.06,392,2727.27,0.483,27.45,3,6.1
E5,28.48,0.00047,0.71,91.84,8.108,8.83,399,1510.64,0.394,40.09,3,5.26
E6,20.19,0.00044,0.37,ERROR,,,406,840.91,0.252,54.50,3,
E7,23.15,0.00046,0.23,130.266,8.995,6.91,413,500.00,0.300,100.45,3,5.02
E8,24.61,0.00044,0,NG,,,420,0.00,0.326,55931.82,3,
E9,29.94,0.0005,1.06,27.876,2.694,9.66,427,2120.00,0.421,28.23,3,5.94
E10,24.35,0.00048,1.14,57.831,13.29,22.98,434,2375.00,0.317,21.35,3,5.7
E11,21.82,0.00047,1.05,ERROR,,,441,2234.04,0.275,20.77,3,
E12,28.01,0.00041,0.59,176.344,15.766,8.94,448,1439.02,0.386,47.44,3,5.64
F1,26.32,0.00043,0.93,3.438,1.85,53.81,455,2162.79,0.353,28.29,3,5.5
F2,31.16,0.00044,0.36,245.375,8.268,3.37,462,818.18,0.450,86.45,3,5.54
F3,29.09,0.00045,0.44,NG,,,469,977.78,0.408,66.05,3,
F4,23.27,0.00045,0.48,1.729,36.52,2112.20,476,1066.67,0.301,48.43,3,5.18
F5,22.2,0.0004,0.64,23.216,9.286,40.00,483,1600.00,0.283,34.67,3,4.88
F6,34.72,0.00041,0.06,967.778,22.128,2.29,490,146.34,0.531,574.74,3,5.24
F7,24.7,0.00043,0.89,99.033,7.201,7.27,497,2069.77,0.324,27.74,3,4.48
F8,33.45,0.00048,0.88,35.655,0.853,2.39,504,1833.33,0.496,37.99,3,5.86
F9,25.92,0.00048,0.69,100.439,6.487,6.46,511,1437.50,0.347,37.54,3,5.56
F10,22.89,0.00048,0.09,64.823,9.732,15.01,518,187.50,0.297,252.98,3,5.36
F11,20.77,0.0005,0.62,ERROR,,,525,1240.00,0.260,33.47,3,
F12,30.12,0.00042,0.45,129.866,6.21,4.78,532,1071.43,0.428,66.87,3,5.64
G1,31.59,0.00041,1.15,163.776,7.018,4.29,539,2804.88,0.454,27.46,3,5.38
G2,29.5,0.00045,1.25,74.558,11.476,15.39,546,2777.78,0.411,23.59,3,5.72
G3,27.93,0.00042,0.17,161.19,10.038,6.23,553,404.76,0.387,163.89,3,5.5
G4,33.89,0.00049,0.31,234.588,9.353,3.99,560,632.65,0.510,109.15,3,6.72
G5,26.64,0.00047,0.26,75.792,12.566,16.58,567,553.19,0.362,102.28,3,5.42
G6,31.98,0.00046,0.54,222.123,15.091,6.79,574,1173.91,0.466,59.17,3,5.64
G7,27.38,0.00046,0.51,43.206,3.134,7.25,581,1108.70,0.374,53.64,3,5.66
G8,22.53,0.00042,1.03,ERROR,,,588,2452.38,0.287,21.86,3,
G9,26.16,0.00042,0.61,15.684,2.842,18.12,595,1452.38,0.351,42.86,3,5.44
G10,33.95,0.00046,0.77,200.844,5.438,2.71,602,1673.91,0.508,44.06,3,5.78
G11,30.99,0.00049,0.15,132.005,9.472,7.18,609,306.12,0.448,205.93,3,6
G12,32.95,0.00044,1.2,150.402,4.843,3.22,616,2727.27,0.483,27.45,3,6.64
H1,28.48,0.00047,0.71,86.173,1.305,1.51,623,1510.64,0.394,40.09,3,5.94
H2,20.19,0.00044,0.37,ERROR,,,630,840.91,0.252,54.50,3,
H3,23.15,0.00046,0.23,81.941,6.677,8.15,637,500.00,0.300,100.45,3,5.28
H4,24.61,0.00044,0,NG,,,644,0.00,0.326,55931.82,3,
H5,29.94,0.0005,1.06,19.108,4.755,24.88,651,2120.00,0.421,28.23,3,5.98
H6,24.35,0.00048,1.14,86.38,14.758,17.08,658,2375.00,0.317,21.35,3,5.68
H7,21.82,0.00047,1.05,1.265,1.559,123.24,665,2234.04,0.275,20.77,3,5.34
H8,28.01,0.00041,0.59,128.775,7.469,5.80,672,1439.02,0.386,47.44,3,5.82
H9,26.32,0.00043,0.93,121.345,6.789,5.59,679,2162.79,0.353,28.29,3,3.96
H10,31.16,0.00044,0.36,179.873,7.006,3.89,686,818.18,0.450,86.45,3,5.48
H11,29.09,0.00045,0.44,NG,,,693,977.78,0.408,66.05,3,
H12,23.27,0.00045,0.48,ERROR,,,700,1066.67,0.301,48.43,3,
